transaction_id,customer_id,amount,payment_method,failure_reason,retry_count,previous_transactions,previous_success_rate,subscription_status,customer_type,days_since_failure,time_since_last_success,device_risk_score,historical_failure_count,recovered,recovery_outcome
txn_4ed2dc5fe8e6,cust_000419,2567.74,netbanking,bank_server_error,0,8,0.585,paused,returning,12,17.9,0.055,2,1,recovered
txn_0acba31a9dae,cust_000735,671.59,upi,network_timeout,1,5,0.609,active,returning,11,197.3,0.454,2,1,recovered
txn_cab88e79975f,cust_000852,1387.83,card,bank_server_error,0,18,0.838,none,loyal,19,299.5,0.474,3,1,recovered
txn_6d0808fbb90c,cust_001018,1125.2,upi,network_timeout,1,5,0.89,active,returning,22,66.0,0.09,0,1,recovered
txn_9d397f7c8aff,cust_001078,822.72,card,network_timeout,0,0,0.5,active,new,12,720.0,0.107,1,1,recovered
txn_73c6f2c76eb0,cust_000078,2062.96,netbanking,bank_server_error,1,9,0.554,none,loyal,25,17.3,0.22,3,1,recovered
txn_5dba1735ef86,cust_000737,198.1,upi,otp_failed,0,6,0.76,active,returning,8,183.6,0.068,2,1,recovered
txn_233847eeeb85,cust_000813,1504.27,card,risk_flagged,0,7,0.62,none,returning,24,29.0,0.389,2,0,not_recovered
txn_e4160b797a0c,cust_001332,1842.24,card,card_declined_bank,0,0,0.5,none,new,11,720.0,0.135,1,0,not_recovered
txn_1e91840e37d0,cust_000628,587.96,netbanking,risk_flagged,1,6,0.783,active,returning,20,149.9,0.16,5,1,recovered
txn_9418eed0a3dd,cust_001227,7800.14,card,card_declined_bank,0,7,0.823,none,returning,30,9.9,0.1,2,0,not_recovered
txn_f9e4a0b47878,cust_001124,1170.27,wallet,otp_failed,1,18,0.775,none,loyal,23,213.9,0.337,5,1,recovered
txn_495d2f346287,cust_000673,1613.67,netbanking,network_timeout,0,9,0.484,paused,returning,9,48.3,0.162,0,1,recovered
txn_7a33b7db62a0,cust_001372,1172.63,upi,otp_failed,2,22,0.965,active,loyal,17,64.0,0.026,1,1,recovered
txn_bee2a377abf9,cust_000152,1856.76,card,network_timeout,1,6,0.823,cancelled,returning,6,64.7,0.029,2,1,recovered
txn_41b92ea66522,cust_000051,6485.54,upi,network_timeout,0,0,0.5,paused,new,14,720.0,0.408,0,0,not_recovered
txn_39a1f0c09e67,cust_001016,18503.48,wallet,network_timeout,1,6,0.659,none,returning,19,188.8,0.263,4,0,not_recovered
txn_1c56ccf1261a,cust_000416,3909.15,card,card_declined_bank,0,0,0.5,none,new,1,720.0,0.139,0,0,not_recovered
txn_05ce350a412e,cust_000423,5319.82,card,card_declined_bank,1,12,0.73,none,loyal,12,26.4,0.23,1,0,not_recovered
txn_485dd21aaa4d,cust_001004,9365.47,card,invalid_card,0,3,0.609,paused,returning,30,202.4,0.379,0,0,not_recovered
txn_adde09ea138c,cust_000833,2499.84,card,invalid_card,1,4,0.616,none,returning,30,121.4,0.209,1,0,not_recovered
txn_133c6e26e395,cust_001482,8210.97,upi,risk_flagged,0,7,0.54,cancelled,returning,26,41.6,0.391,3,0,not_recovered
txn_c48eda9c392b,cust_000601,4077.18,upi,network_timeout,0,16,0.552,cancelled,loyal,22,56.8,0.329,3,0,not_recovered
txn_6d64818ecc26,cust_001475,2274.67,upi,risk_flagged,1,20,0.575,none,loyal,20,226.2,0.299,0,0,not_recovered
txn_8dd1599d7aa0,cust_001464,2738.89,card,card_declined_bank,0,4,0.805,none,returning,16,54.4,0.225,2,0,not_recovered
txn_4feb4e548583,cust_001544,387.89,card,risk_flagged,0,0,0.5,none,new,19,720.0,0.142,1,1,recovered
txn_a8c45457cfd9,cust_000951,2599.07,card,network_timeout,0,8,0.791,paused,returning,7,178.0,0.152,4,1,recovered
txn_c18d05277d3e,cust_001316,498.01,netbanking,network_timeout,1,0,0.5,paused,new,17,720.0,0.292,2,0,not_recovered
txn_15ca2e953fd8,cust_000066,462.78,upi,risk_flagged,0,0,0.5,active,new,17,720.0,0.629,1,0,not_recovered
txn_e340bf4f4bfa,cust_000182,2376.99,card,network_timeout,0,7,0.751,active,returning,2,53.3,0.39,3,1,recovered
txn_9696df0cb927,cust_000290,733.13,netbanking,insufficient_funds,2,7,0.646,none,returning,8,254.4,0.257,2,0,not_recovered
txn_a645dad090fa,cust_001255,1985.44,card,bank_server_error,2,20,0.75,cancelled,loyal,9,25.7,0.379,1,0,not_recovered
