feature,importance
categorical__failure_reason_network_timeout,0.097061165
categorical__failure_reason_invalid_card,0.075460345
categorical__customer_type_new,0.068150744
categorical__failure_reason_bank_server_error,0.06309539
categorical__failure_reason_otp_failed,0.05877612
categorical__failure_reason_card_declined_bank,0.05835661
numeric__retry_count,0.050615646
categorical__failure_reason_insufficient_funds,0.04495941
categorical__failure_reason_risk_flagged,0.043881107
categorical__subscription_status_cancelled,0.03274078
categorical__subscription_status_active,0.028693827
categorical__payment_method_netbanking,0.027884012
numeric__previous_success_rate,0.027577551
numeric__time_since_last_success,0.026270872
numeric__previous_transactions,0.026196122
numeric__days_since_failure,0.026053667
categorical__payment_method_emi,0.02564549
numeric__device_risk_score,0.025048604
numeric__amount,0.02471658
categorical__payment_method_card,0.024710013
categorical__customer_type_loyal,0.023636665
categorical__customer_type_returning,0.02229792
numeric__historical_failure_count,0.020661647
categorical__payment_method_upi,0.020239413
categorical__payment_method_wallet,0.019701209
categorical__subscription_status_none,0.019574534
categorical__subscription_status_paused,0.017994564
